2024-06-22 18:21:59,207 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:21:59,208 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:21:59,211 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:26:19,409 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:LPII_CL2_BarazordaPablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\pom.xml.
2024-06-22 18:26:20,225 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:20,228 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:26:20,231 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:20,232 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:26:20,233 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_BarazordaPablo
2024-06-22 18:26:20,233 [Worker-39] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_BarazordaPablo
2024-06-22 18:26:20,237 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:21,757 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:21,760 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:26:21,762 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:21,763 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:26:29,157 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:LPII_CL2_BarazordaPablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\pom.xml.
2024-06-22 18:26:29,984 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:29,987 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:26:29,989 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:26:29,991 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:26:29,991 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_BarazordaPablo
2024-06-22 18:26:29,992 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_BarazordaPablo
2024-06-22 18:26:29,999 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:29:52,734 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:29:52,736 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:29:52,738 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:29:52,739 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:48:53,165 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:48:53,166 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:48:53,167 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:48:53,169 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:50:29,691 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:50:29,693 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:50:29,694 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:50:29,695 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:55:57,330 [Worker-64] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:LPII_CL2_BarazordaPablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\pom.xml.
2024-06-22 18:56:01,061 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:56:01,064 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:56:01,065 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:56:01,067 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 18:56:01,067 [Worker-64] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_BarazordaPablo
2024-06-22 18:56:01,067 [Worker-64] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_BarazordaPablo
2024-06-22 18:56:01,072 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:56:03,250 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:56:03,265 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 18:56:03,267 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 18:56:03,269 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:00:11,644 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:11,646 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:00:11,648 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:11,649 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL2_BarazordaPablo\LPII_CL2_BarazordaPablo\src\test\resources
2024-06-22 19:00:44,228 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-06-22 19:00:44,231 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-06-22 19:00:44,232 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
